Name,Goals,Assists,G+A
Shane Livingstone,17,6,23
Volodymur Tymoshenko,1,8,9
Billy Amps,7,2,9
Ollie Wyatt,6,3,9
Matt Garner,3,4,7
Adam Cowland,4,2,6
Alfie Shorland,0,5,5
Jonas Skattum,2,2,4
Mason Ferris,2,2,4
Axel Ohoue,1,2,3
Seamus Stokoe,2,1,3
Seb Gonzalez,1,2,3
Jordan Matheson,1,1,2
Ioan Bishop,2,0,2
Tom Heaton,0,2,2
Emil Snow,0,1,1
Gilbert M,0,1,1
Dave Ellis,0,1,1
Mike Bayala-Addy,1,0,1
John Lorimer,1,0,1
Luke Saunders,1,0,1
Miquel,1,0,1
Josh Chetwynd,1,0,1
Lukman,0,1,1
Will Goodwin,0,1,1
Nii Bannerman,0,0,0
Damaine Robinson,0,0,0
Rashaun Wright,0,0,0
Tom Overbury,0,0,0
Razak Oliver,0,0,0
Allen,0,0,0
Will Goodwin,0,0,0
Ozzy Othman,0,0,0
Carlos Buitron,0,0,0
Bobby Spalding,0,0,0
Donovanne Paisley-Guy,0,0,0
Jason Paisley-Guy,0,0,0
Tobi Balogun,0,0,0
Lewis Speirs,0,0,0
